Nombre_1,Apellido_1,CUI_1,InstitucionBancaria_1,AbreviacionInstitucion_1,TipoCuenta_1,SaldoInicial_1
Boote,Pina,208181717,Banco Industrial,BI,Monetaria en Q,900
Boote,Pina,208181717,Banco Industrial,BI,Monetaria en Q,900
Giordano,Rimington,270162925,Banco de desarrollo rural,BANRURAL,Ahorro,547
Giordano,Rimington,270162925,Banco de desarrollo rural,BANRURAL,Ahorro,547
Giordano,Rimington,270162925,Banco G&T,G&T,Monetaria en $,0
Giordano,Rimington,270162925,Banco G&T,G&T,Monetaria en $,0
Giordano,Rimington,270162925,Banco G&T,G&T,Monetaria en $,0
Giordano,Rimington,270162925,Banco G&T,G&T,Monetaria en $,0
Giordano,Rimington,270162925,Banco Industrial,BI,Ahorro,1250
Giordano,Rimington,270162925,Banco Industrial,BI,Ahorro,1250
Giordano,Rimington,270162925,Banco Industrial,BI,Ahorro,1250
Colas,Feek,440057779,Banco Agromercantil,BAM,Monetaria en $,0
Colas,Feek,440057779,Banco Agromercantil,BAM,Monetaria en $,0
Colas,Feek,440057779,Banco G&T,G&T,Monetaria en $,2906
Colas,Feek,440057779,Banco G&T,G&T,Monetaria en $,2906
Colas,Feek,440057779,Banco Industrial,BI,Monetaria en $,0
Colas,Feek,440057779,Banco Industrial,BI,Monetaria en $,0
Colas,Feek,440057779,Banco Industrial,BI,Monetaria en $,0
Kit,Tottman,445543914,Banco G&T,G&T,Monetaria en $,0
Joellen,Rickell,677914504,Banco Industrial,BI,Monetaria en Q,2831
Joellen,Rickell,677914504,Banco Industrial,BI,Monetaria en Q,2831
Bobbette,Dutton,930849132,Banco G&T,G&T,Monetaria en $,0
Bobbette,Dutton,930849132,Banco Industrial,BI,Ahorro,0
Bobbette,Dutton,930849132,Banco Industrial,BI,Ahorro,0
Bobbette,Dutton,930849132,Banco Promerica,Promerica,Ahorro,761
Bobbette,Dutton,930849132,Banco Promerica,Promerica,Ahorro,761
Bobbette,Dutton,930849132,Banco Promerica,Promerica,Ahorro,761
Abigale,Crann,1187255777,Banco Agromercantil,BAM,Monetaria en $,0
Abigale,Crann,1187255777,Banco Industrial,BI,Ahorro,0
Abigale,Crann,1187255777,Banco Industrial,BI,Ahorro,0
Abigale,Crann,1187255777,Banco Industrial,BI,Ahorro,0
Chrissy,Fells,1432225464,Banco G&T,G&T,Ahorro,0
Chrissy,Fells,1432225464,Banco Industrial,BI,Monetaria en $,0
Javier,Theodore,1485345081,Banco G&T,G&T,Monetaria en $,2008
Javier,Theodore,1485345081,Banco G&T,G&T,Monetaria en $,2008
Javier,Theodore,1485345081,Banco G&T,G&T,Monetaria en $,2008
Javier,Theodore,1485345081,Banco Industrial,BI,Monetaria en $,1602
Javier,Theodore,1485345081,Banco Industrial,BI,Monetaria en $,1602
Javier,Theodore,1485345081,Banco Industrial,BI,Monetaria en $,1602
Javier,Theodore,1485345081,Banco Industrial,BI,Monetaria en $,1602
Javier,Theodore,1485345081,Banco Industrial,BI,Monetaria en $,1602
Caryn,Kirkham,1581008589,Banco Agromercantil,BAM,Ahorro,0
Caryn,Kirkham,1581008589,Banco Agromercantil,BAM,Ahorro,0
Caryn,Kirkham,1581008589,Banco Promerica,Promerica,Monetaria en $,0
Horatia,Brumpton,1653130695,Banco Agromercantil,BAM,Monetaria en $,0
Horatia,Brumpton,1653130695,Banco Agromercantil,BAM,Monetaria en $,0
Horatia,Brumpton,1653130695,Banco G&T,G&T,Ahorro,4275
Horatia,Brumpton,1653130695,Banco G&T,G&T,Ahorro,0
Horatia,Brumpton,1653130695,Banco G&T,G&T,Ahorro,0
Horatia,Brumpton,1653130695,Banco G&T,G&T,Ahorro,1612
Horatia,Brumpton,1653130695,Banco G&T,G&T,Ahorro,4782
Horatia,Brumpton,1653130695,Banco G&T,G&T,Monetaria en Q,4437
Horatia,Brumpton,1653130695,Banco G&T,G&T,Ahorro,4782
Horatia,Brumpton,1653130695,Banco G&T,G&T,Ahorro,4782
Horatia,Brumpton,1653130695,Banco G&T,G&T,Ahorro,4275
Horatia,Brumpton,1653130695,Banco G&T,G&T,Ahorro,4782
Horatia,Brumpton,1653130695,Banco G&T,G&T,Ahorro,1612
Horatia,Brumpton,1653130695,Banco G&T,G&T,Monetaria en Q,4437
Horatia,Brumpton,1653130695,Banco G&T,G&T,Ahorro,1612
Horatia,Brumpton,1653130695,Banco G&T,G&T,Ahorro,0
Horatia,Brumpton,1653130695,Banco G&T,G&T,Ahorro,4782
Arleta,Umbert,1805028979,Banco de desarrollo rural,BANRURAL,Ahorro,1374
Arleta,Umbert,1805028979,Banco de desarrollo rural,BANRURAL,Ahorro,1374
Arleta,Umbert,1805028979,Banco G&T,G&T,Monetaria en Q,1863
Arleta,Umbert,1805028979,Banco G&T,G&T,Monetaria en Q,0
Arleta,Umbert,1805028979,Banco G&T,G&T,Monetaria en Q,0
Arleta,Umbert,1805028979,Banco G&T,G&T,Monetaria en Q,1863
