Nombre_2,Apellido_2,CUI_2,InstitucionBancaria_2,AbreviacionInstitucion_2,TipoCuenta_2,SaldoInicial_2,,,
Abigale,Crann,1187255777,Banco Agromercantil,BAM,Monetaria en $,0,,,
Jeanie,Badman,2320648240,Banco G&T,G&T,Monetaria en Q,0,,,
Antonetta,Bowler,4380702766,Banco de desarrollo rural,BANRURAL,Ahorro,217,,,
Joelynn,De Gregoli,9835876975,Banco Promerica,Promerica,Ahorro,4350,,,
Colas,Feek,440057779,Banco G&T,G&T,Monetaria en $,2906,,,
Raff,Meah,3693967563,Banco G&T,G&T,Monetaria en $,1225,,,
Koressa,Knowler,7737952055,Banco Promerica,Promerica,Ahorro,3065,,,
Colas,Feek,440057779,Banco G&T,G&T,Monetaria en $,2906,,,
Cherry,Youtead,6393106875,Banco G&T,G&T,Monetaria en Q,1189,,,
Collie,Leatherland,3334586502,Banco G&T,G&T,Monetaria en Q,0,,,
Henriette,Stag,5203620156,Banco de desarrollo rural,BANRURAL,Monetaria en $,0,,,
Arleta,Umbert,1805028979,Banco G&T,G&T,Monetaria en Q,1863,,,
Antonetta,Bowler,4380702766,Banco Agromercantil,BAM,Monetaria en $,2300,,,
Puff,Huerta,4474118367,Banco de desarrollo rural,BANRURAL,Monetaria en Q,0,,,
Jarid,McEniry,7858016997,Banco de desarrollo rural,BANRURAL,Ahorro,4005,,,
Arlin,Bruckner,7819264039,Banco Promerica,Promerica,Ahorro,3228,,,
Joellen,Rickell,677914504,Banco Industrial,BI,Monetaria en Q,2831,,,
Maggee,Shergold,6816494733,Banco Industrial,BI,Monetaria en Q,0,,,
Konstanze,Blood,7873382966,Banco Industrial,BI,Ahorro,0,,,
Abigale,Crann,1187255777,Banco Industrial,BI,Ahorro,0,,,
Tina,De Beauchemp,6668839878,Banco Agromercantil,BAM,Ahorro,3027,,,
Manuel,Gouldstone,2293547442,Banco G&T,G&T,Ahorro,0,,,
Tina,De Beauchemp,6668839878,Banco de desarrollo rural,BANRURAL,Monetaria en $,3942,,,
Vonny,Westall,2354138652,Banco G&T,G&T,Monetaria en Q,3604,,,
Maressa,Delgadillo,3899636643,Banco Industrial,BI,Ahorro,0,,,
Riva,Gaven,2897073799,Banco G&T,G&T,Monetaria en Q,2316,,,
Corliss,McCord,5563911438,Banco Agromercantil,BAM,Monetaria en $,0,,,
Joelynn,De Gregoli,9835876975,Banco Promerica,Promerica,Ahorro,4350,,,
Nelia,Hathway,1962610551,Banco Industrial,BI,Monetaria en $,3149,,,
Carmita,Hiscoke,8640571546,Banco Agromercantil,BAM,Monetaria en Q,2277,,,
Daffy,Marages,2720935689,Banco Promerica,Promerica,Monetaria en Q,1575,,,
Alfie,Castellaccio,2344960856,Banco de desarrollo rural,BANRURAL,Monetaria en $,0,,,
Sax,Stephenson,4640351089,Banco Agromercantil,BAM,Ahorro,0,,,
Jeanie,Badman,2320648240,Banco Promerica,Promerica,Monetaria en $,0,,,
Vassili,Drowsfield,3345353652,Banco Agromercantil,BAM,Monetaria en Q,3999,,,
Horatia,Brumpton,1653130695,Banco G&T,G&T,Ahorro,4275,,,
Abigale,Crann,1187255777,Banco Industrial,BI,Ahorro,0,,,
Hali,Peebles,1909436437,Banco de desarrollo rural,BANRURAL,Ahorro,1818,,,
Maggee,Shergold,6816494733,Banco Promerica,Promerica,Ahorro,3276,,,
Horatia,Brumpton,1653130695,Banco G&T,G&T,Ahorro,4275,,,
Ike,Nickels,6290621491,Banco de desarrollo rural,BANRURAL,Monetaria en Q,423,,,
Daffy,Marages,2720935689,Banco G&T,G&T,Monetaria en Q,0,,,
